query_id,rtree_us,brute_us,hits,denom,recall
158,2448,529,10,10,1
159,2372,567,10,10,1
160,2580,572,10,10,1
161,2616,568,10,10,1
162,2556,558,10,10,1
163,2566,585,10,10,1
164,2548,566,10,10,1
165,2445,632,10,10,1
166,2546,562,10,10,1
167,2539,571,10,10,1
168,2526,561,10,10,1
169,2382,522,10,10,1
170,2317,543,10,10,1
171,2400,518,10,10,1
172,2467,512,10,10,1
173,2372,634,10,10,1
174,2368,508,10,10,1
175,2422,631,10,10,1
176,2433,504,10,10,1
177,2435,510,10,10,1
178,2542,510,10,10,1
179,2296,529,10,10,1
180,2439,517,10,10,1
181,2368,528,10,10,1
182,2772,706,10,10,1
183,3463,1093,10,10,1
184,3694,973,10,10,1
185,3106,518,10,10,1
186,2433,646,10,10,1
187,2427,514,10,10,1
188,3521,991,10,10,1
189,3786,974,10,10,1
190,3710,1029,10,10,1
191,4026,776,10,10,1
192,2649,518,10,10,1
193,2500,656,10,10,1
194,2518,541,10,10,1
195,2445,604,10,10,1
196,2717,566,10,10,1
197,2405,512,10,10,1
198,2542,529,10,10,1
199,2341,514,10,10,1
200,2341,507,10,10,1
201,2440,551,10,10,1
202,2517,510,10,10,1
203,2421,565,10,10,1
204,2318,518,10,10,1
205,2367,515,10,10,1
206,2290,504,10,10,1
207,2299,511,10,10,1
208,2642,515,10,10,1
209,2472,522,10,10,1
210,2400,640,10,10,1
211,2264,507,10,10,1
212,2378,502,10,10,1
213,2430,515,10,10,1
214,2292,532,10,10,1
215,2543,512,10,10,1
216,2612,514,10,10,1
217,2371,532,10,10,1
218,2372,512,10,10,1
219,2672,523,10,10,1
220,2386,511,10,10,1
221,2388,560,10,10,1
222,2400,508,10,10,1
223,2353,507,10,10,1
224,2336,515,10,10,1
225,2400,506,10,10,1
226,2367,534,10,10,1
227,2341,520,10,10,1
228,2453,517,10,10,1
229,2411,519,10,10,1
230,2382,522,10,10,1
231,2359,524,10,10,1
232,2333,564,10,10,1
233,2291,510,10,10,1
234,2352,635,10,10,1
235,2478,615,10,10,1
236,2283,507,10,10,1
237,2346,510,10,10,1
238,2306,510,10,10,1
239,2336,534,10,10,1
240,2296,512,10,10,1
241,2413,534,10,10,1
242,2434,519,10,10,1
243,2404,512,10,10,1
244,2421,599,10,10,1
245,2371,594,10,10,1
246,2412,520,10,10,1
247,2420,518,10,10,1
248,2346,513,10,10,1
249,2489,508,10,10,1
250,2298,513,10,10,1
251,2335,514,10,10,1
252,2370,626,10,10,1
253,2465,510,10,10,1
254,2313,549,10,10,1
255,2345,588,10,10,1
256,2322,517,10,10,1
257,2394,508,10,10,1
258,2382,617,10,10,1
259,2490,528,10,10,1
260,2441,512,10,10,1
261,2326,501,10,10,1
262,2305,515,10,10,1
263,2355,507,10,10,1
264,2332,522,10,10,1
265,2461,509,10,10,1
266,2396,509,10,10,1
267,2380,508,10,10,1
268,2348,524,10,10,1
269,2351,510,10,10,1
270,2473,557,10,10,1
271,2275,517,10,10,1
272,2309,508,10,10,1
273,2359,516,10,10,1
274,2326,512,10,10,1
275,2316,514,10,10,1
276,2422,579,10,10,1
277,2395,519,10,10,1
278,2580,513,10,10,1
279,2300,513,10,10,1
280,2333,639,10,10,1
281,2429,508,10,10,1
282,2545,620,10,10,1
283,2466,597,10,10,1
284,2434,516,10,10,1
285,2309,510,10,10,1
286,2436,511,10,10,1
287,2431,509,10,10,1
288,2334,509,10,10,1
289,2335,518,10,10,1
290,2380,510,10,10,1
291,2422,527,10,10,1
292,2385,505,10,10,1
293,2455,554,10,10,1
294,2398,564,10,10,1
295,2342,513,10,10,1
296,2340,510,10,10,1
297,2447,513,10,10,1
298,2328,646,10,10,1
299,2359,628,10,10,1
300,2304,510,10,10,1
301,2383,518,10,10,1
302,2402,504,10,10,1
303,2272,513,10,10,1
304,2450,564,10,10,1
305,2359,555,10,10,1
306,2468,536,10,10,1
307,2314,548,10,10,1
308,2333,624,10,10,1
309,2460,519,10,10,1
310,2805,999,10,10,1
311,3744,612,10,10,1
312,2579,521,10,10,1
313,2451,531,10,10,1
314,2425,532,10,10,1
315,2343,561,10,10,1
316,2367,571,10,10,1
317,2460,534,10,10,1
318,2538,544,10,10,1
319,2452,507,10,10,1
320,2368,515,10,10,1
321,2495,509,10,10,1
322,2344,508,10,10,1
323,2513,619,10,10,1
324,2359,618,10,10,1
325,2395,514,10,10,1
326,2495,581,10,10,1
327,2402,519,10,10,1
328,2622,612,10,10,1
329,2411,602,10,10,1
330,2359,511,10,10,1
331,2321,520,10,10,1
332,2513,512,10,10,1
333,2427,814,10,10,1
334,2383,529,10,10,1
335,2364,520,10,10,1
336,2406,508,10,10,1
337,2546,924,10,10,1
338,2625,524,10,10,1
339,2586,563,10,10,1
340,2545,564,10,10,1
341,2445,512,10,10,1
342,2447,539,10,10,1
343,2507,518,10,10,1
344,2504,501,10,10,1
345,2401,507,10,10,1
346,2470,510,10,10,1
347,2374,506,10,10,1
348,2495,512,10,10,1
349,2429,509,10,10,1
350,2327,504,10,10,1
351,2379,572,10,10,1
352,2366,596,10,10,1
353,2652,545,10,10,1
354,2598,578,10,10,1
355,2526,523,10,10,1
356,2441,647,10,10,1
357,2479,629,10,10,1
358,2443,509,10,10,1
359,2504,677,10,10,1
360,2451,589,10,10,1
361,2453,592,10,10,1
362,2299,563,10,10,1
363,2403,517,10,10,1
364,2379,503,10,10,1
365,2384,500,10,10,1
366,2445,528,10,10,1
367,2356,637,10,10,1
368,2404,513,10,10,1
369,2427,511,10,10,1
370,2399,530,10,10,1
371,2326,513,10,10,1
372,2307,508,10,10,1
373,2445,560,10,10,1
374,2535,537,10,10,1
375,2422,591,10,10,1
376,2609,596,10,10,1
377,2685,578,10,10,1
378,2670,603,10,10,1
379,2590,560,10,10,1
380,2533,572,10,10,1
381,2723,574,10,10,1
382,2701,569,10,10,1
383,2679,580,10,10,1
384,2605,587,10,10,1
385,2572,560,10,10,1
386,2611,732,10,10,1
387,2876,582,10,10,1
388,2736,579,10,10,1
389,2505,574,10,10,1
390,2525,566,10,10,1
391,2500,631,10,10,1
392,2819,608,10,10,1
393,2853,529,10,10,1
394,2521,653,10,10,1
395,2571,582,10,10,1
396,2410,526,10,10,1
397,2449,513,10,10,1
398,2568,544,10,10,1
399,2384,517,10,10,1
400,2358,518,10,10,1
401,2365,631,10,10,1
402,2324,543,10,10,1
403,2312,508,10,10,1
404,2289,513,10,10,1
405,2334,509,10,10,1
406,2362,514,10,10,1
407,2372,583,10,10,1
408,2649,520,10,10,1
409,2389,607,10,10,1
410,2348,509,10,10,1
411,2335,521,10,10,1
412,2354,625,10,10,1
413,2306,501,10,10,1
414,2426,505,10,10,1
415,2328,505,10,10,1
416,2400,512,10,10,1
417,2294,511,10,10,1
418,2413,546,10,10,1
419,2316,540,10,10,1
420,2471,532,10,10,1
421,2509,523,10,10,1
422,2363,576,10,10,1
423,2495,529,10,10,1
424,2546,537,10,10,1
425,2692,578,10,10,1
426,2580,621,10,10,1
427,2481,557,10,10,1
428,2425,514,10,10,1
429,2450,510,10,10,1
430,2564,562,10,10,1
431,2634,571,10,10,1
432,2861,604,10,10,1
433,2452,519,10,10,1
434,2468,506,10,10,1
435,2391,627,10,10,1
436,2627,557,10,10,1
437,2536,533,10,10,1
438,2475,507,10,10,1
439,2485,511,10,10,1
440,2392,545,10,10,1
441,2739,721,10,10,1
442,2591,669,10,10,1
443,2662,554,10,10,1
444,2593,692,10,10,1
445,2716,549,10,10,1
446,2474,568,10,10,1
447,2434,570,10,10,1
448,2342,528,10,10,1
449,2344,518,10,10,1
450,2522,587,10,10,1
451,2317,612,10,10,1
452,2443,521,10,10,1
453,2537,526,10,10,1
454,2406,609,10,10,1
455,2431,592,10,10,1
456,2366,613,10,10,1
457,2519,725,10,10,1
458,2681,525,10,10,1
459,2556,643,10,10,1
